t,v,s,t_global,station_pair
0.0,0.0,0.0,1526.7500000000002,下应路-大洋江
0.05,0.027500000000000004,0.0013750000000000004,1526.8000000000002,下应路-大洋江
0.1,0.05500000000000001,0.004125000000000001,1526.8500000000001,下应路-大洋江
0.15000000000000002,0.08250000000000002,0.008250000000000002,1526.9000000000003,下应路-大洋江
0.2,0.11000000000000001,0.013750000000000004,1526.9500000000003,下应路-大洋江
0.25,0.1375,0.020625000000000004,1527.0000000000002,下应路-大洋江
0.30000000000000004,0.16500000000000004,0.028875000000000005,1527.0500000000002,下应路-大洋江
0.35000000000000003,0.19250000000000003,0.038500000000000006,1527.1000000000001,下应路-大洋江
0.4,0.22000000000000003,0.04950000000000001,1527.1500000000003,下应路-大洋江
0.45,0.24750000000000003,0.06187500000000001,1527.2000000000003,下应路-大洋江
0.5,0.275,0.07562500000000001,1527.2500000000002,下应路-大洋江
0.55,0.30250000000000005,0.09075000000000001,1527.3000000000002,下应路-大洋江
0.6000000000000001,0.33000000000000007,0.10725000000000001,1527.3500000000001,下应路-大洋江
0.65,0.35750000000000004,0.12512500000000001,1527.4000000000003,下应路-大洋江
0.7000000000000001,0.38500000000000006,0.14437500000000003,1527.4500000000003,下应路-大洋江
0.75,0.41250000000000003,0.16500000000000004,1527.5000000000002,下应路-大洋江
0.8,0.44000000000000006,0.18700000000000006,1527.5500000000002,下应路-大洋江
0.8500000000000001,0.4675000000000001,0.21037500000000006,1527.6000000000001,下应路-大洋江
0.9,0.49500000000000005,0.23512500000000006,1527.6500000000003,下应路-大洋江
0.9500000000000001,0.5225000000000001,0.26125000000000004,1527.7000000000003,下应路-大洋江
1.0,0.55,0.28875000000000006,1527.7500000000002,下应路-大洋江
1.05,0.5775000000000001,0.31762500000000005,1527.8000000000002,下应路-大洋江
1.1,0.6050000000000001,0.34787500000000005,1527.8500000000001,下应路-大洋江
1.1500000000000001,0.6325000000000002,0.37950000000000006,1527.9000000000003,下应路-大洋江
1.2000000000000002,0.6600000000000001,0.4125000000000001,1527.9500000000003,下应路-大洋江
1.25,0.6875,0.4468750000000001,1528.0000000000002,下应路-大洋江
1.3,0.7150000000000001,0.4826250000000001,1528.0500000000002,下应路-大洋江
1.35,0.7425000000000002,0.51975,1528.1000000000001,下应路-大洋江
1.4000000000000001,0.7700000000000001,0.55825,1528.1500000000003,下应路-大洋江
1.4500000000000002,0.7975000000000002,0.598125,1528.2000000000003,下应路-大洋江
1.5,0.8250000000000001,0.639375,1528.2500000000002,下应路-大洋江
1.55,0.8525000000000001,0.682,1528.3000000000002,下应路-大洋江
1.6,0.8800000000000001,0.7260000000000001,1528.3500000000001,下应路-大洋江
1.6500000000000001,0.9075000000000002,0.7713750000000001,1528.4000000000003,下应路-大洋江
1.7000000000000002,0.9350000000000002,0.8181250000000002,1528.4500000000003,下应路-大洋江
1.75,0.9625000000000001,0.8662500000000002,1528.5000000000002,下应路-大洋江
1.8,0.9900000000000001,0.9157500000000002,1528.5500000000002,下应路-大洋江
1.85,1.0175,0.9666250000000002,1528.6000000000001,下应路-大洋江
1.9000000000000001,1.0450000000000002,1.0188750000000002,1528.6500000000003,下应路-大洋江
1.9500000000000002,1.0725000000000002,1.0725000000000002,1528.7000000000003,下应路-大洋江
2.0,1.1,1.1275000000000002,1528.7500000000002,下应路-大洋江
2.0500000000000003,1.1275000000000002,1.1838750000000002,1528.8000000000002,下应路-大洋江
2.1,1.1550000000000002,1.2416250000000002,1528.8500000000001,下应路-大洋江
2.15,1.1825,1.3007500000000003,1528.9000000000003,下应路-大洋江
2.2,1.2100000000000002,1.3612500000000003,1528.9500000000003,下应路-大洋江
2.25,1.2375,1.4231250000000002,1529.0000000000002,下应路-大洋江
2.3000000000000003,1.2650000000000003,1.4863750000000002,1529.0500000000002,下应路-大洋江
2.35,1.2925000000000002,1.5510000000000002,1529.1000000000001,下应路-大洋江
2.4000000000000004,1.3200000000000003,1.6170000000000002,1529.1500000000003,下应路-大洋江
2.45,1.3475000000000001,1.6843750000000002,1529.2000000000003,下应路-大洋江
2.5,1.375,1.7531250000000003,1529.2500000000002,下应路-大洋江
2.5500000000000003,1.4025000000000003,1.8232500000000003,1529.3000000000002,下应路-大洋江
2.6,1.4300000000000002,1.8947500000000002,1529.3500000000001,下应路-大洋江
2.6500000000000004,1.4575000000000002,1.9676250000000002,1529.4000000000003,下应路-大洋江
2.7,1.4850000000000003,2.041875,1529.4500000000003,下应路-大洋江
2.75,1.5125000000000002,2.1175,1529.5000000000002,下应路-大洋江
2.8000000000000003,1.5400000000000003,2.1945,1529.5500000000002,下应路-大洋江
2.85,1.5675000000000001,2.272875,1529.6000000000001,下应路-大洋江
2.9000000000000004,1.5950000000000004,2.352625,1529.6500000000003,下应路-大洋江
2.95,1.6225000000000003,2.4337500000000003,1529.7000000000003,下应路-大洋江
3.0,1.6500000000000001,2.5162500000000003,1529.7500000000002,下应路-大洋江
3.0500000000000003,1.6775000000000002,2.6001250000000002,1529.8000000000002,下应路-大洋江
3.1,1.7050000000000003,2.685375,1529.8500000000001,下应路-大洋江
3.1500000000000004,1.7325000000000004,2.7720000000000002,1529.9000000000003,下应路-大洋江
3.2,1.7600000000000002,2.8600000000000003,1529.9500000000003,下应路-大洋江
3.25,1.7875,2.9493750000000003,1530.0000000000002,下应路-大洋江
3.3000000000000003,1.8150000000000004,3.040125,1530.0500000000002,下应路-大洋江
3.35,1.8425000000000002,3.13225,1530.1000000000001,下应路-大洋江
3.4000000000000004,1.8700000000000003,3.22575,1530.1500000000003,下应路-大洋江
3.45,1.8975000000000002,3.320625,1530.2000000000003,下应路-大洋江
3.5,1.9250000000000003,3.416875,1530.2500000000002,下应路-大洋江
3.5500000000000003,1.9525000000000003,3.5145,1530.3000000000002,下应路-大洋江
3.6,1.9800000000000002,3.6135,1530.3500000000001,下应路-大洋江
3.6500000000000004,2.0075000000000003,3.7138750000000003,1530.4000000000003,下应路-大洋江
3.7,2.035,3.8156250000000003,1530.4500000000003,下应路-大洋江
3.75,2.0625,3.91875,1530.5000000000002,下应路-大洋江
3.8000000000000003,2.0900000000000003,4.02325,1530.5500000000002,下应路-大洋江
3.85,2.1175,4.129125,1530.6000000000001,下应路-大洋江
3.9000000000000004,2.1450000000000005,4.236375,1530.6500000000003,下应路-大洋江
3.95,2.1725000000000003,4.345,1530.7000000000003,下应路-大洋江
4.0,2.2,4.455,1530.7500000000002,下应路-大洋江
4.05,2.2275,4.566375,1530.8000000000002,下应路-大洋江
4.1000000000000005,2.2550000000000003,4.679125,1530.8500000000001,下应路-大洋江
4.15,2.2825,4.79325,1530.9000000000003,下应路-大洋江
