t_local,v(m/s),s_local(m),t_global,station_pair
0.0,0.0,0.0,1945.0,柳隘-海晏北路
0.05,0.027500000000000004,0.0013750000000000004,1945.05,柳隘-海晏北路
0.1,0.05500000000000001,0.004125000000000001,1945.1,柳隘-海晏北路
0.15000000000000002,0.08250000000000002,0.008250000000000002,1945.15,柳隘-海晏北路
0.2,0.11000000000000001,0.013750000000000004,1945.2,柳隘-海晏北路
0.25,0.1375,0.020625000000000004,1945.25,柳隘-海晏北路
0.30000000000000004,0.16500000000000004,0.028875000000000005,1945.3,柳隘-海晏北路
0.35000000000000003,0.19250000000000003,0.038500000000000006,1945.35,柳隘-海晏北路
0.4,0.22000000000000003,0.04950000000000001,1945.4,柳隘-海晏北路
0.45,0.24750000000000003,0.06187500000000001,1945.45,柳隘-海晏北路
0.5,0.275,0.07562500000000001,1945.5,柳隘-海晏北路
0.55,0.30250000000000005,0.09075000000000001,1945.55,柳隘-海晏北路
0.6000000000000001,0.33000000000000007,0.10725000000000001,1945.6,柳隘-海晏北路
0.65,0.35750000000000004,0.12512500000000001,1945.65,柳隘-海晏北路
0.7000000000000001,0.38500000000000006,0.14437500000000003,1945.7,柳隘-海晏北路
0.75,0.41250000000000003,0.16500000000000004,1945.75,柳隘-海晏北路
0.8,0.44000000000000006,0.18700000000000006,1945.8,柳隘-海晏北路
0.8500000000000001,0.4675000000000001,0.21037500000000006,1945.85,柳隘-海晏北路
0.9,0.49500000000000005,0.23512500000000006,1945.9,柳隘-海晏北路
0.9500000000000001,0.5225000000000001,0.26125000000000004,1945.95,柳隘-海晏北路
1.0,0.55,0.28875000000000006,1946.0,柳隘-海晏北路
1.05,0.5775000000000001,0.31762500000000005,1946.05,柳隘-海晏北路
1.1,0.6050000000000001,0.34787500000000005,1946.1,柳隘-海晏北路
1.1500000000000001,0.6325000000000002,0.37950000000000006,1946.15,柳隘-海晏北路
1.2000000000000002,0.6600000000000001,0.4125000000000001,1946.2,柳隘-海晏北路
1.25,0.6875,0.4468750000000001,1946.25,柳隘-海晏北路
1.3,0.7150000000000001,0.4826250000000001,1946.3,柳隘-海晏北路
1.35,0.7425000000000002,0.51975,1946.35,柳隘-海晏北路
1.4000000000000001,0.7700000000000001,0.55825,1946.4,柳隘-海晏北路
1.4500000000000002,0.7975000000000002,0.598125,1946.45,柳隘-海晏北路
1.5,0.8250000000000001,0.639375,1946.5,柳隘-海晏北路
1.55,0.8525000000000001,0.682,1946.55,柳隘-海晏北路
1.6,0.8800000000000001,0.7260000000000001,1946.6,柳隘-海晏北路
1.6500000000000001,0.9075000000000002,0.7713750000000001,1946.65,柳隘-海晏北路
1.7000000000000002,0.9350000000000002,0.8181250000000002,1946.7,柳隘-海晏北路
1.75,0.9625000000000001,0.8662500000000002,1946.75,柳隘-海晏北路
1.8,0.9900000000000001,0.9157500000000002,1946.8,柳隘-海晏北路
1.85,1.0175,0.9666250000000002,1946.85,柳隘-海晏北路
1.9000000000000001,1.0450000000000002,1.0188750000000002,1946.9,柳隘-海晏北路
1.9500000000000002,1.0725000000000002,1.0725000000000002,1946.95,柳隘-海晏北路
2.0,1.1,1.1275000000000002,1947.0,柳隘-海晏北路
2.0500000000000003,1.1275000000000002,1.1838750000000002,1947.05,柳隘-海晏北路
2.1,1.1550000000000002,1.2416250000000002,1947.1,柳隘-海晏北路
2.15,1.1825,1.3007500000000003,1947.15,柳隘-海晏北路
2.2,1.2100000000000002,1.3612500000000003,1947.2,柳隘-海晏北路
2.25,1.2375,1.4231250000000002,1947.25,柳隘-海晏北路
2.3000000000000003,1.2650000000000003,1.4863750000000002,1947.3,柳隘-海晏北路
2.35,1.2925000000000002,1.5510000000000002,1947.35,柳隘-海晏北路
2.4000000000000004,1.3200000000000003,1.6170000000000002,1947.4,柳隘-海晏北路
2.45,1.3475000000000001,1.6843750000000002,1947.45,柳隘-海晏北路
2.5,1.375,1.7531250000000003,1947.5,柳隘-海晏北路
2.5500000000000003,1.4025000000000003,1.8232500000000003,1947.55,柳隘-海晏北路
2.6,1.4300000000000002,1.8947500000000002,1947.6,柳隘-海晏北路
2.6500000000000004,1.4575000000000002,1.9676250000000002,1947.65,柳隘-海晏北路
2.7,1.4850000000000003,2.041875,1947.7,柳隘-海晏北路
2.75,1.5125000000000002,2.1175,1947.75,柳隘-海晏北路
2.8000000000000003,1.5400000000000003,2.1945,1947.8,柳隘-海晏北路
2.85,1.5675000000000001,2.272875,1947.85,柳隘-海晏北路
2.9000000000000004,1.5950000000000004,2.352625,1947.9,柳隘-海晏北路
2.95,1.6225000000000003,2.4337500000000003,1947.95,柳隘-海晏北路
3.0,1.6500000000000001,2.5162500000000003,1948.0,柳隘-海晏北路
3.0500000000000003,1.6775000000000002,2.6001250000000002,1948.05,柳隘-海晏北路
3.1,1.7050000000000003,2.685375,1948.1,柳隘-海晏北路
3.1500000000000004,1.7325000000000004,2.7720000000000002,1948.15,柳隘-海晏北路
3.2,1.7600000000000002,2.8600000000000003,1948.2,柳隘-海晏北路
3.25,1.7875,2.9493750000000003,1948.25,柳隘-海晏北路
3.3000000000000003,1.8150000000000004,3.040125,1948.3,柳隘-海晏北路
3.35,1.8425000000000002,3.13225,1948.35,柳隘-海晏北路
3.4000000000000004,1.8700000000000003,3.22575,1948.4,柳隘-海晏北路
3.45,1.8975000000000002,3.320625,1948.45,柳隘-海晏北路
3.5,1.9250000000000003,3.416875,1948.5,柳隘-海晏北路
3.5500000000000003,1.9525000000000003,3.5145,1948.55,柳隘-海晏北路
3.6,1.9800000000000002,3.6135,1948.6,柳隘-海晏北路
3.6500000000000004,2.0075000000000003,3.7138750000000003,1948.65,柳隘-海晏北路
3.7,2.035,3.8156250000000003,1948.7,柳隘-海晏北路
3.75,2.0625,3.91875,1948.75,柳隘-海晏北路
3.8000000000000003,2.0900000000000003,4.02325,1948.8,柳隘-海晏北路
3.85,2.1175,4.129125,1948.85,柳隘-海晏北路
3.9000000000000004,2.1450000000000005,4.236375,1948.9,柳隘-海晏北路
3.95,2.1725000000000003,4.345,1948.95,柳隘-海晏北路
4.0,2.2,4.455,1949.0,柳隘-海晏北路
4.05,2.2275,4.566375,1949.05,柳隘-海晏北路
4.1000000000000005,2.2550000000000003,4.679125,1949.1,柳隘-海晏北路
4.15,2.2825,4.79325,1949.15,柳隘-海晏北路
4.2,2.3100000000000005,4.9087499999999995,1949.2,柳隘-海晏北路
4.25,2.3375000000000004,5.025625,1949.25,柳隘-海晏北路
4.3,2.365,5.1438749999999995,1949.3,柳隘-海晏北路
4.3500000000000005,2.3925000000000005,5.2635,1949.35,柳隘-海晏北路
4.4,2.4200000000000004,5.3845,1949.4,柳隘-海晏北路
4.45,2.4475000000000002,5.506875,1949.45,柳隘-海晏北路
4.5,2.475,5.630625,1949.5,柳隘-海晏北路
4.55,2.5025,5.75575,1949.55,柳隘-海晏北路
4.6000000000000005,2.5300000000000007,5.88225,1949.6,柳隘-海晏北路
4.65,2.5575000000000006,6.010125,1949.65,柳隘-海晏北路
4.7,2.5850000000000004,6.139375,1949.7,柳隘-海晏北路
4.75,2.6125000000000003,6.2700000000000005,1949.75,柳隘-海晏北路
4.800000000000001,2.6400000000000006,6.402,1949.8,柳隘-海晏北路
4.8500000000000005,2.6675000000000004,6.535375,1949.85,柳隘-海晏北路
4.9,2.6950000000000003,6.6701250000000005,1949.9,柳隘-海晏北路
4.95,2.7225,6.80625,1949.95,柳隘-海晏北路
5.0,2.75,6.9437500000000005,1950.0,柳隘-海晏北路
5.050000000000001,2.7775000000000007,7.082625,1950.05,柳隘-海晏北路
5.1000000000000005,2.8050000000000006,7.222875,1950.1,柳隘-海晏北路
5.15,2.8325000000000005,7.3645000000000005,1950.15,柳隘-海晏北路
5.2,2.8600000000000003,7.5075,1950.2,柳隘-海晏北路
5.25,2.8875,7.651875,1950.25,柳隘-海晏北路
5.300000000000001,2.9150000000000005,7.797625,1950.3,柳隘-海晏北路
5.3500000000000005,2.9425000000000003,7.94475,1950.35,柳隘-海晏北路
5.4,2.9700000000000006,8.09325,1950.4,柳隘-海晏北路
5.45,2.9975000000000005,8.243125,1950.45,柳隘-海晏北路
5.5,3.0250000000000004,8.394374999999998,1950.5,柳隘-海晏北路
5.550000000000001,3.0525000000000007,8.546999999999999,1950.55,柳隘-海晏北路
5.6000000000000005,3.0800000000000005,8.700999999999999,1950.6,柳隘-海晏北路
5.65,3.1075000000000004,8.856374999999998,1950.65,柳隘-海晏北路
5.7,3.1350000000000002,9.013124999999999,1950.7,柳隘-海晏北路
5.75,3.1625,9.171249999999999,1950.75,柳隘-海晏北路
5.800000000000001,3.190000000000001,9.330749999999998,1950.8,柳隘-海晏北路
5.8500000000000005,3.2175000000000007,9.491624999999999,1950.85,柳隘-海晏北路
5.9,3.2450000000000006,9.653875,1950.9,柳隘-海晏北路
5.95,3.2725000000000004,9.817499999999999,1950.95,柳隘-海晏北路
6.0,3.3000000000000003,9.982499999999998,1951.0,柳隘-海晏北路
6.050000000000001,3.3275000000000006,10.148874999999999,1951.05,柳隘-海晏北路
6.1000000000000005,3.3550000000000004,10.316624999999998,1951.1,柳隘-海晏北路
6.15,3.3825000000000003,10.485749999999998,1951.15,柳隘-海晏北路
6.2,3.4100000000000006,10.656249999999998,1951.2,柳隘-海晏北路
6.25,3.4375000000000004,10.828124999999998,1951.25,柳隘-海晏北路
6.300000000000001,3.4650000000000007,11.001374999999998,1951.3,柳隘-海晏北路
6.3500000000000005,3.4925000000000006,11.175999999999998,1951.35,柳隘-海晏北路
6.4,3.5200000000000005,11.351999999999999,1951.4,柳隘-海晏北路
6.45,3.5475000000000003,11.529374999999998,1951.45,柳隘-海晏北路
6.5,3.575,11.708124999999999,1951.5,柳隘-海晏北路
6.550000000000001,3.6025000000000005,11.88825,1951.55,柳隘-海晏北路
6.6000000000000005,3.630000000000001,12.069749999999999,1951.6,柳隘-海晏北路
6.65,3.6575000000000006,12.252624999999998,1951.65,柳隘-海晏北路
