序号,区间,segment,来源run_id,绝对开始时间,绝对结束时间,趟次选择方式,数据读取来源,样本数,运行时间(s),区间里程(km),重量(t),历史真实能耗(kWh),Simu物理机械能耗(kWh),Simu-真实(kWh),相对差异(%)
1,布政-张家潭,0,1,2024-07-01 05:59:54,2024-07-01 06:01:51,traceability-cache,cache,2351,117.5,1.427842083333335,215.24,13.559418453416667,13.117202852471637,-0.44221560094503004,-3.26131686594274
2,张家潭-同德路,0,2,2024-07-01 06:02:21,2024-07-01 06:04:51,traceability-cache,cache,3018,150.85,2.019219861111107,215.24,18.515561260020835,17.21943694625183,-1.2961243137690035,-7.000189168273396
3,同德路-石碶,0,3,2024-07-01 06:05:21,2024-07-01 06:07:12,traceability-cache,cache,2220,110.95,1.3299802777777792,215.44,14.539569973034723,13.813917948736753,-0.7256520242979696,-4.99087679789549
4,石碶-雅渡,0,4,2024-07-01 06:07:41,2024-07-01 06:09:00,traceability-cache,cache,1576,78.75,0.8280034722222219,215.74,12.360408796722224,12.660691324230529,0.3002825275083051,2.429389937231971
5,雅渡-庙堰,0,5,2024-07-01 06:09:30,2024-07-01 06:11:44,traceability-cache,cache,2679,133.9,1.8590936111111072,215.84,20.522664962388887,19.71607903004467,-0.8065859323442164,-3.9302202409989926
6,庙堰-钟公庙,0,6,2024-07-01 06:12:13,2024-07-01 06:13:50,traceability-cache,cache,1930,96.45,1.086692083333334,216.34,12.989318931506943,12.80457353724942,-0.184745394257523,-1.42228699773784
7,钟公庙-鄞州区政府,0,7,2024-07-01 06:14:20,2024-07-01 06:15:51,traceability-cache,cache,1815,90.7,0.9850970833333306,217.1,10.303695779624999,10.921164099063216,0.617468319438216,5.9926877951814745
8,鄞州区政府-钱湖南路,0,8,2024-07-01 06:16:30,2024-07-01 06:18:38,traceability-cache,cache,2546,127.25,1.811117083333338,217.0,19.266809438784723,17.69675056118064,-1.5700588776040822,-8.14903413350579
9,钱湖南路-南高教园区,0,9,2024-07-01 06:19:07,2024-07-01 06:20:44,traceability-cache,cache,1947,97.3,1.1682356944444459,217.11,15.347011397145835,15.395309856892373,0.048298459746538354,0.3147092192524251
10,南高教园区-下应路,0,10,2024-07-01 06:21:18,2024-07-01 06:23:09,traceability-cache,cache,2217,110.8,1.452572777777779,217.9,21.65634656031945,20.07034931945618,-1.5859972408632674,-7.323475529197815
11,下应路-大洋江,0,11,2024-07-01 06:23:38,2024-07-01 06:25:24,traceability-cache,cache,2112,105.55,1.213399305555555,218.5,12.896942314125,12.483024513429926,-0.4139178006950751,-3.209425851596961
12,大洋江-泗港,0,12,2024-07-01 06:25:53,2024-07-01 06:27:25,traceability-cache,cache,1829,91.4,0.9584773611111128,219.2,12.05326801757639,12.075364803138323,0.022096785561932848,0.1833260948790879
13,泗港-曹隘,0,13,2024-07-01 06:27:54,2024-07-01 06:30:09,traceability-cache,cache,2697,134.8,1.7991254166666728,219.1,23.12968133454861,23.291147126348275,0.16146579179966283,0.6980891325920809
14,曹隘-柳隘,0,14,2024-07-01 06:30:40,2024-07-01 06:32:26,traceability-cache,cache,2121,106.0,1.306505972222225,218.7,21.35067559504861,22.06212497665089,0.7114493816022769,3.332210160915318
15,柳隘-海晏北路,0,15,2024-07-01 06:32:55,2024-07-01 06:34:25,traceability-cache,cache,1789,89.4,0.9807340277777788,218.8,14.467666244590276,14.381406013658433,-0.08626023093184448,-0.5962276809094815
16,海晏北路-民安东路,0,16,2024-07-01 06:35:09,2024-07-01 06:36:33,traceability-cache,cache,1679,83.9,0.8647784722222217,216.8,15.906411100104169,16.138433794815548,0.23202269471137696,1.4586740733103363
17,民安东路-会展中心,0,17,2024-07-01 06:37:02,2024-07-01 06:38:19,traceability-cache,cache,1533,76.6,0.7253866666666666,216.14,12.285908795500003,12.694440229583504,0.4085314340835012,3.325203213563942
18,会展中心-院士路,0,18,2024-07-01 06:38:49,2024-07-01 06:40:44,traceability-cache,cache,2299,114.9,1.55146583333333,216.34,14.89267998654861,15.002044062222815,0.10936407567420428,0.7343478525892202
19,院士路-盎孟港,0,19,2024-07-01 06:41:13,2024-07-01 06:42:44,traceability-cache,cache,1818,90.85,0.9948579166666662,216.34,19.915718209562502,20.00757958480193,0.09186137523942671,0.46125062763400415
20,盎孟港-三官堂,0,20,2024-07-01 06:43:14,2024-07-01 06:45:25,traceability-cache,cache,2614,130.65,1.878726388888889,216.24,19.44571478648611,17.991825234431467,-1.453889552054643,-7.4766578036258675
21,三官堂-兴庄路,0,21,2024-07-01 06:45:55,2024-07-01 06:47:36,traceability-cache,cache,2030,101.45,1.07980888888889,215.94,10.83936922661111,10.88907453413419,0.04970530752307968,0.45856273076343823
22,兴庄路-兴海南路,0,22,2024-07-01 06:48:07,2024-07-01 06:49:39,traceability-cache,cache,1828,91.35,0.9585144444444422,215.34,11.733555514479166,11.69410145092332,-0.039454063555846006,-0.3362498562959866
23,兴海南路-梅堰,0,23,2024-07-01 06:50:08,2024-07-01 06:51:31,traceability-cache,cache,1647,82.3,0.8343668055555569,215.44,13.074035465909724,13.173277726686207,0.09924226077648382,0.7590790237280292
24,梅堰-永茂路,0,24,2024-07-01 06:52:06,2024-07-01 06:57:36,traceability-cache,cache,6593,329.6,3.674692638888882,215.34,26.228948425520834,25.33243736394364,-0.8965110615771918,-3.418021367203896
25,永茂路-镇海大道,0,25,2024-07-01 06:58:03,2024-07-01 07:00:26,traceability-cache,cache,2853,142.6,2.1319902777777737,215.34,17.480314477847223,17.05785506936632,-0.42245940848090324,-2.4167723585081116
26,镇海大道-骆驼桥,0,26,2024-07-01 07:00:53,2024-07-01 07:02:50,traceability-cache,cache,2339,116.9,1.5963661111111151,215.34,20.094219568152777,18.435095805783238,-1.6591237623695378,-8.256721574790964
