站名,到达时刻,出发时刻,运行等级,区间运行时间(s),当前车重(t),重量变化(t)
布政,-,08:00:00,-,0,215.24,0
张家潭,08:01:51,08:02:21,Class3,111,215.24,0.0
同德路,08:04:45,08:05:15,Class3,144,215.24,0.0
石碶,08:06:54,08:07:24,Class3,99,215.44,0.2
雅渡,08:08:41,08:09:11,Class3,77,215.54,0.1
庙堰,08:11:16,08:11:46,Class3,125,215.54,0.0
钟公庙,08:13:14,08:13:44,Class3,88,215.44,-0.1
鄞州区政府,08:15:07,08:15:37,Class3,83,215.54,0.1
钱湖南路,08:17:40,08:18:10,Class3,123,215.74,0.2
南高教园区,08:19:42,08:20:12,Class3,92,215.64,-0.1
下应路,08:21:58,08:22:28,Class3,106,215.74,0.1
大洋江,08:24:03,08:24:33,Class3,95,215.54,-0.2
泗港,08:25:53,08:26:23,Class3,80,215.64,0.1
曹隘,08:28:26,08:28:56,Class3,123,215.54,-0.1
柳隘,08:30:37,08:31:07,Class3,101,215.74,0.2
海晏北路,08:32:29,08:32:59,Class3,82,215.74,0.0
民安东路,08:34:15,08:34:45,Class3,76,215.74,0.0
会展中心,08:35:55,08:36:25,Class3,70,215.74,0.0
院士路,08:38:15,08:38:45,Class3,110,215.44,-0.3
盎孟港,08:40:09,08:40:39,Class3,84,215.44,0.0
三官堂,08:42:44,08:43:14,Class3,125,215.54,0.1
兴庄路,08:44:47,08:45:17,Class3,93,215.44,-0.1
兴海南路,08:46:43,08:47:13,Class3,86,215.44,0.0
梅堰,08:48:32,08:49:02,Class3,79,215.54,0.1
永茂路,08:54:25,08:54:55,Class3,323,215.34,-0.2
镇海大道,08:57:13,08:57:43,Class3,138,215.34,0.0
骆驼桥,08:59:37,-,Class3,114,215.24,-0.1
