t_local,v(m/s),s_local(m),t_global,station_pair
0.0,0.0,0.0,3364.074475855943,永茂路-镇海大道
0.05,0.027500000000000004,0.0013750000000000004,3364.1244758559433,永茂路-镇海大道
0.1,0.05500000000000001,0.004125000000000001,3364.174475855943,永茂路-镇海大道
0.15000000000000002,0.08250000000000002,0.008250000000000002,3364.224475855943,永茂路-镇海大道
0.2,0.11000000000000001,0.013750000000000004,3364.274475855943,永茂路-镇海大道
0.25,0.1375,0.020625000000000004,3364.324475855943,永茂路-镇海大道
0.30000000000000004,0.16500000000000004,0.028875000000000005,3364.3744758559433,永茂路-镇海大道
0.35000000000000003,0.19250000000000003,0.038500000000000006,3364.424475855943,永茂路-镇海大道
0.4,0.22000000000000003,0.04950000000000001,3364.474475855943,永茂路-镇海大道
0.45,0.24750000000000003,0.06187500000000001,3364.524475855943,永茂路-镇海大道
0.5,0.275,0.07562500000000001,3364.574475855943,永茂路-镇海大道
0.55,0.30250000000000005,0.09075000000000001,3364.6244758559433,永茂路-镇海大道
0.6000000000000001,0.33000000000000007,0.10725000000000001,3364.674475855943,永茂路-镇海大道
0.65,0.35750000000000004,0.12512500000000001,3364.724475855943,永茂路-镇海大道
0.7000000000000001,0.38500000000000006,0.14437500000000003,3364.774475855943,永茂路-镇海大道
0.75,0.41250000000000003,0.16500000000000004,3364.824475855943,永茂路-镇海大道
0.8,0.44000000000000006,0.18700000000000006,3364.8744758559433,永茂路-镇海大道
0.8500000000000001,0.4675000000000001,0.21037500000000006,3364.924475855943,永茂路-镇海大道
0.9,0.49500000000000005,0.23512500000000006,3364.974475855943,永茂路-镇海大道
0.9500000000000001,0.5225000000000001,0.26125000000000004,3365.024475855943,永茂路-镇海大道
1.0,0.55,0.28875000000000006,3365.074475855943,永茂路-镇海大道
1.05,0.5775000000000001,0.31762500000000005,3365.1244758559433,永茂路-镇海大道
1.1,0.6050000000000001,0.34787500000000005,3365.174475855943,永茂路-镇海大道
1.1500000000000001,0.6325000000000002,0.37950000000000006,3365.224475855943,永茂路-镇海大道
1.2000000000000002,0.6600000000000001,0.4125000000000001,3365.274475855943,永茂路-镇海大道
1.25,0.6875,0.4468750000000001,3365.324475855943,永茂路-镇海大道
1.3,0.7150000000000001,0.4826250000000001,3365.3744758559433,永茂路-镇海大道
1.35,0.7425000000000002,0.51975,3365.424475855943,永茂路-镇海大道
1.4000000000000001,0.7700000000000001,0.55825,3365.474475855943,永茂路-镇海大道
1.4500000000000002,0.7975000000000002,0.598125,3365.524475855943,永茂路-镇海大道
