站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,26.0,29.0,-3.0,116.3,12947.63,12741.01,12627.01,历史原始实测能耗,-206.62,real,class3,class3,80,80,strong,energy_first,215.24,UP012_20240702_141702_R603,11.0,603.0
张家潭-同德路,class1,141.0,26.0,29.0,-3.0,151.5,17890.72,17587.78,17616.87,历史原始实测能耗,-302.94,extrapolated_adjacent,class2,class2,0,8,generated,energy_first,215.24,UP012_20240702_141702_R603,11.0,604.0
同德路-石碶,class3,109.0,32.0,35.0,-3.0,110.95,13094.43,11959.92,11699.46,历史原始实测能耗,-1134.51,real,class3,class3,60,60,strong,energy_first,215.24,UP012_20240702_141702_R603,11.0,605.0
石碶-雅渡,class2,80.0,27.0,30.0,-3.0,81.25,11046.12,11841.74,11740.73,历史原始实测能耗,795.62,real,class2,class2,38,38,strong,energy_first,215.34,UP012_20240702_141702_R603,11.0,606.0
雅渡-庙堰,class4,139.0,26.0,29.0,-3.0,132.75,18173.81,20254.03,19413.82,历史原始实测能耗,2080.22,real,class4,class4,10,10,strong,energy_first,215.54,UP012_20240702_141702_R603,11.0,607.0
庙堰-钟公庙,class4,101.0,27.0,30.0,-3.0,96.7,10856.06,13489.83,13479.27,历史原始实测能耗,2633.77,extrapolated_adjacent,class3,class3,0,84,generated,energy_first,215.54,UP012_20240702_141702_R603,11.0,608.0
钟公庙-鄞州区政府,class4,95.0,36.0,39.0,-3.0,90.65,7971.63,10015.27,9966.49,历史原始实测能耗,2043.64,real,class4,class4,1,1,weak,energy_first,215.54,UP012_20240702_141702_R603,11.0,609.0
鄞州区政府-钱湖南路,class4,139.0,27.0,30.0,-3.0,131.65,15233.58,16319.98,15768.05,历史原始实测能耗,1086.4,extrapolated_adjacent,class3,class3,0,62,generated,energy_first,215.64,UP012_20240702_141702_R603,11.0,610.0
钱湖南路-南高教园区,class4,105.0,32.0,35.0,-3.0,99.95,11774.49,13765.64,13411.53,历史原始实测能耗,1991.15,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,215.54,UP012_20240702_141702_R603,11.0,611.0
南高教园区-下应路,class4,120.0,27.0,30.0,-3.0,113.7,16566.96,19336.95,19005.81,历史原始实测能耗,2769.99,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,215.54,UP012_20240702_141702_R603,11.0,612.0
下应路-大洋江,class3,106.0,27.0,30.0,-3.0,105.3,11247.34,11500.42,11257.44,历史原始实测能耗,253.08,real,class3,class3,65,65,strong,energy_first,215.74,UP012_20240702_141702_R603,11.0,613.0
大洋江-泗港,class4,96.0,26.0,29.0,-3.0,92.3,9521.53,10862.25,10596.89,历史原始实测能耗,1340.72,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,215.54,UP012_20240702_141702_R603,11.0,614.0
