station_pair,L,V_UPPER,V_MID,A1,A2,A_DEC,REACH_TOL,TIME_LOWER,TIME_UPPER,MASS,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
布政-张家潭,1450,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,215.24,UP016_20240703_061856_R803,15,803,traceability
张家潭-同德路,2053,22.22,12.5,0.55,0.8,-0.5,0.5,141,166,215.24,UP016_20240703_061856_R803,15,804,traceability
同德路-石碶,1351,22.22,12.5,0.55,0.8,-0.5,0.5,99,120,215.24,UP016_20240703_061856_R803,15,805,traceability
石碶-雅渡,840,22.22,12.5,0.55,0.8,-0.5,0.5,76,90,215.24,UP016_20240703_061856_R803,15,806,traceability
雅渡-庙堰,1889,22.22,12.5,0.55,0.8,-0.5,0.5,123,146,215.24,UP016_20240703_061856_R803,15,807,traceability
庙堰-钟公庙,1103,22.22,12.5,0.55,0.8,-0.5,0.5,89,106,215.34,UP016_20240703_061856_R803,15,808,traceability
钟公庙-鄞州区政府,999,22.22,12.5,0.55,0.8,-0.5,0.5,82,99,215.24,UP016_20240703_061856_R803,15,809,traceability
鄞州区政府-钱湖南路,1839,22.22,12.5,0.55,0.8,-0.5,0.5,122,146,215.34,UP016_20240703_061856_R803,15,810,traceability
钱湖南路-南高教园区,1187,22.22,12.5,0.55,0.8,-0.5,0.5,91,111,215.24,UP016_20240703_061856_R803,15,811,traceability
南高教园区-下应路,1474,22.22,12.5,0.55,0.8,-0.5,0.5,105,126,215.34,UP016_20240703_061856_R803,15,812,traceability
下应路-大洋江,1233,22.22,12.5,0.55,0.8,-0.5,0.5,96,117,215.44,UP016_20240703_061856_R803,15,813,traceability
大洋江-泗港,972,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,215.34,UP016_20240703_061856_R803,15,814,traceability
泗港-曹隘,1825,22.22,12.5,0.55,0.8,-0.5,0.5,122,143,215.54,UP016_20240703_061856_R803,15,815,traceability
曹隘-柳隘,1327,22.22,12.5,0.55,0.8,-0.5,0.5,101,119,215.54,UP016_20240703_061856_R803,15,816,traceability
柳隘-海晏北路,996,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,215.74,UP016_20240703_061856_R803,15,817,traceability
海晏北路-民安东路,877,22.22,12.5,0.55,0.8,-0.5,0.5,79,94,216.14,UP016_20240703_061856_R803,15,818,traceability
民安东路-会展中心,736,22.22,12.5,0.55,0.8,-0.5,0.5,72,88,216.34,UP016_20240703_061856_R803,15,819,traceability
会展中心-院士路,1576,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,216.34,UP016_20240703_061856_R803,15,820,traceability
院士路-盎孟港,1010,22.22,12.5,0.55,0.8,-0.5,0.5,84,100,215.94,UP016_20240703_061856_R803,15,821,traceability
盎孟港-三官堂,1906,22.22,12.5,0.55,0.8,-0.5,0.5,126,153,215.94,UP016_20240703_061856_R803,15,822,traceability
三官堂-兴庄路,1097,22.22,12.5,0.55,0.8,-0.5,0.5,94,114,215.74,UP016_20240703_061856_R803,15,823,traceability
兴庄路-兴海南路,974,22.22,12.5,0.55,0.8,-0.5,0.5,83,100,215.44,UP016_20240703_061856_R803,15,824,traceability
兴海南路-梅堰,846,22.22,12.5,0.55,0.8,-0.5,0.5,75,91,215.54,UP016_20240703_061856_R803,15,825,traceability
梅堰-永茂路,3734,22.22,12.5,0.55,0.8,-0.5,0.5,284,345,215.74,UP016_20240703_061856_R803,10,826,traceability
永茂路-镇海大道,2164,22.22,12.5,0.55,0.8,-0.5,0.5,135,164,215.54,UP016_20240703_061856_R803,15,827,traceability
镇海大道-骆驼桥,1620,22.22,12.5,0.55,0.8,-0.5,0.5,111,134,215.34,UP016_20240703_061856_R803,15,828,traceability
