站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,DP候选阶段,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
泗港-曹隘,class2,128.1,20783.2,78.3111,real,class2,class2,6,6,strong,real_only,UP057_20240710_070757_R3070,56,3082,traceability
泗港-曹隘,class4,137.0,25166.38,75.5316,real,class4,class4,82,82,strong,real_only,UP057_20240710_070757_R3070,56,3082,traceability
泗港-曹隘,class5,143.0,23163.29,66.4822,extrapolated_adjacent,class4,class4,0,82,generated,allow_extrapolated,UP057_20240710_070757_R3070,56,3082,traceability
曹隘-柳隘,class2,106.0,19071.08,79.8019,real,class2,class2,68,68,strong,real_only,UP057_20240710_070757_R3070,56,3083,traceability
曹隘-柳隘,class3,108.0,16987.86,73.3086,real,class3,class3,38,38,strong,real_only,UP057_20240710_070757_R3070,56,3083,traceability
曹隘-柳隘,class4,113.0,12866.42,61.633,real,class4,class4,1,1,weak,real_only,UP057_20240710_070757_R3070,56,3083,traceability
曹隘-柳隘,class5,119.0,11262.86,54.6398,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP057_20240710_070757_R3070,56,3083,traceability
柳隘-海晏北路,class3,92.0,12062.96,64.8124,real,class3,class3,35,35,strong,real_only,UP057_20240710_070757_R3070,56,3084,traceability
柳隘-海晏北路,class4,96.0,10726.17,55.7057,extrapolated_adjacent,class3,class3,0,35,generated,allow_extrapolated,UP057_20240710_070757_R3070,56,3084,traceability
海晏北路-民安东路,class3,85.0,14963.47,67.8617,real,class3,class3,41,41,strong,real_only,UP057_20240710_070757_R3070,56,3085,traceability
海晏北路-民安东路,class4,89.0,13276.45,54.6404,extrapolated_adjacent,class3,class3,0,41,generated,allow_extrapolated,UP057_20240710_070757_R3070,56,3085,traceability
民安东路-会展中心,class2,76.0,16398.59,79.546,real,class2,class2,96,96,strong,real_only,UP057_20240710_070757_R3070,55,3086,traceability
民安东路-会展中心,class3,79.0,12305.49,60.2777,real,class3,class3,8,8,strong,real_only,UP057_20240710_070757_R3070,55,3086,traceability
民安东路-会展中心,class4,83.0,8001.19,48.5512,extrapolated_adjacent,class3,class3,0,8,generated,allow_extrapolated,UP057_20240710_070757_R3070,55,3086,traceability
会展中心-院士路,class3,115.0,14707.21,77.6321,real,class3,class3,104,104,strong,real_only,UP057_20240710_070757_R3070,55,3087,traceability
会展中心-院士路,class4,121.0,13042.19,67.4907,extrapolated_adjacent,class3,class3,0,104,generated,allow_extrapolated,UP057_20240710_070757_R3070,55,3087,traceability
院士路-盎孟港,class3,91.0,16906.99,72.2139,real,class3,class3,99,99,strong,real_only,UP057_20240710_070757_R3070,55,3088,traceability
院士路-盎孟港,class4,96.0,13756.34,56.5362,extrapolated_adjacent,class3,class3,0,99,generated,allow_extrapolated,UP057_20240710_070757_R3070,55,3088,traceability
盎孟港-三官堂,class2,132.0,18040.69,76.317,real,class2,class2,52,52,strong,real_only,UP057_20240710_070757_R3070,55,3089,traceability
盎孟港-三官堂,class3,138.9,17579.58,68.9399,real,class3,class3,52,52,strong,real_only,UP057_20240710_070757_R3070,55,3089,traceability
盎孟港-三官堂,class4,146.0,16723.19,63.6563,extrapolated_adjacent,class3,class3,0,52,generated,allow_extrapolated,UP057_20240710_070757_R3070,55,3089,traceability
三官堂-兴庄路,class1,94.0,13603.45,76.0601,extrapolated_adjacent,class2,class2,0,46,generated,allow_extrapolated,UP057_20240710_070757_R3070,55,3090,traceability
三官堂-兴庄路,class2,99.0,12452.93,61.7533,real,class2,class2,46,46,strong,real_only,UP057_20240710_070757_R3070,55,3090,traceability
三官堂-兴庄路,class3,104.0,11437.98,53.7287,real,class3,class3,58,58,strong,real_only,UP057_20240710_070757_R3070,55,3090,traceability
三官堂-兴庄路,class4,109.0,10871.98,48.7312,extrapolated_adjacent,class3,class3,0,58,generated,allow_extrapolated,UP057_20240710_070757_R3070,55,3090,traceability
兴庄路-兴海南路,class2,87.0,16270.83,79.8469,real,class2,class2,30,30,strong,real_only,UP057_20240710_070757_R3070,55,3091,traceability
兴庄路-兴海南路,class4,96.0,9182.21,53.818,extrapolated_adjacent,class3,class3,0,72,generated,allow_extrapolated,UP057_20240710_070757_R3070,55,3091,traceability
兴海南路-梅堰,class3,82.0,11130.64,69.8334,real,class3,class3,73,73,strong,real_only,UP057_20240710_070757_R3070,55,3092,traceability
兴海南路-梅堰,class4,86.0,9415.88,53.8927,extrapolated_adjacent,class3,class3,0,73,generated,allow_extrapolated,UP057_20240710_070757_R3070,55,3092,traceability
梅堰-永茂路,class3,313.0,30280.55,67.3094,real,class3,class3,20,20,strong,real_only,UP057_20240710_070757_R3070,43,3093,traceability
梅堰-永茂路,class4,329.0,26102.26,57.9722,real,class4,class4,26,26,strong,real_only,UP057_20240710_070757_R3070,43,3093,traceability
梅堰-永茂路,class5,345.1,23448.78,52.7569,extrapolated_adjacent,class4,class4,0,26,generated,allow_extrapolated,UP057_20240710_070757_R3070,43,3093,traceability
永茂路-镇海大道,class2,141.0,18065.75,79.6934,real,class2,class2,59,59,strong,real_only,UP057_20240710_070757_R3070,55,3094,traceability
永茂路-镇海大道,class3,148.0,17234.13,72.5627,interpolated,class2,class2|class4,0,59,generated,allow_interpolated,UP057_20240710_070757_R3070,55,3094,traceability
永茂路-镇海大道,class4,156.0,15968.6,66.5855,real,class4,class4,1,1,weak,real_only,UP057_20240710_070757_R3070,55,3094,traceability
永茂路-镇海大道,class5,164.1,14910.2,61.0206,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP057_20240710_070757_R3070,55,3094,traceability
镇海大道-骆驼桥,class2,116.0,19925.7,79.6939,real,class2,class2,101,101,strong,real_only,UP057_20240710_070757_R3070,55,3095,traceability
镇海大道-骆驼桥,class3,122.0,19057.47,71.8166,real,class3,class3,1,1,weak,real_only,UP057_20240710_070757_R3070,55,3095,traceability
镇海大道-骆驼桥,class4,128.0,17093.79,65.0024,real,class4,class4,1,1,weak,real_only,UP057_20240710_070757_R3070,55,3095,traceability
镇海大道-骆驼桥,class5,134.0,15664.19,59.131,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP057_20240710_070757_R3070,55,3095,traceability
