t_local,v(m/s),s_local(m),t_global,station_pair
0.0,0.0,0.0,2408.221184939789,院士路-盎孟港
0.05,0.027500000000000004,0.0013750000000000004,2408.2711849397892,院士路-盎孟港
0.1,0.05500000000000001,0.004125000000000001,2408.321184939789,院士路-盎孟港
0.15000000000000002,0.08250000000000002,0.008250000000000002,2408.371184939789,院士路-盎孟港
0.2,0.11000000000000001,0.013750000000000004,2408.421184939789,院士路-盎孟港
0.25,0.1375,0.020625000000000004,2408.471184939789,院士路-盎孟港
0.30000000000000004,0.16500000000000004,0.028875000000000005,2408.5211849397892,院士路-盎孟港
0.35000000000000003,0.19250000000000003,0.038500000000000006,2408.571184939789,院士路-盎孟港
0.4,0.22000000000000003,0.04950000000000001,2408.621184939789,院士路-盎孟港
0.45,0.24750000000000003,0.06187500000000001,2408.671184939789,院士路-盎孟港
0.5,0.275,0.07562500000000001,2408.721184939789,院士路-盎孟港
0.55,0.30250000000000005,0.09075000000000001,2408.7711849397892,院士路-盎孟港
0.6000000000000001,0.33000000000000007,0.10725000000000001,2408.821184939789,院士路-盎孟港
0.65,0.35750000000000004,0.12512500000000001,2408.871184939789,院士路-盎孟港
0.7000000000000001,0.38500000000000006,0.14437500000000003,2408.921184939789,院士路-盎孟港
0.75,0.41250000000000003,0.16500000000000004,2408.971184939789,院士路-盎孟港
0.8,0.44000000000000006,0.18700000000000006,2409.0211849397892,院士路-盎孟港
0.8500000000000001,0.4675000000000001,0.21037500000000006,2409.071184939789,院士路-盎孟港
0.9,0.49500000000000005,0.23512500000000006,2409.121184939789,院士路-盎孟港
0.9500000000000001,0.5225000000000001,0.26125000000000004,2409.171184939789,院士路-盎孟港
1.0,0.55,0.28875000000000006,2409.221184939789,院士路-盎孟港
1.05,0.5775000000000001,0.31762500000000005,2409.2711849397892,院士路-盎孟港
1.1,0.6050000000000001,0.34787500000000005,2409.321184939789,院士路-盎孟港
1.1500000000000001,0.6325000000000002,0.37950000000000006,2409.371184939789,院士路-盎孟港
1.2000000000000002,0.6600000000000001,0.4125000000000001,2409.421184939789,院士路-盎孟港
1.25,0.6875,0.4468750000000001,2409.471184939789,院士路-盎孟港
1.3,0.7150000000000001,0.4826250000000001,2409.5211849397892,院士路-盎孟港
1.35,0.7425000000000002,0.51975,2409.571184939789,院士路-盎孟港
1.4000000000000001,0.7700000000000001,0.55825,2409.621184939789,院士路-盎孟港
1.4500000000000002,0.7975000000000002,0.598125,2409.671184939789,院士路-盎孟港
1.5,0.8250000000000001,0.639375,2409.721184939789,院士路-盎孟港
1.55,0.8525000000000001,0.682,2409.7711849397892,院士路-盎孟港
1.6,0.8800000000000001,0.7260000000000001,2409.821184939789,院士路-盎孟港
1.6500000000000001,0.9075000000000002,0.7713750000000001,2409.871184939789,院士路-盎孟港
1.7000000000000002,0.9350000000000002,0.8181250000000002,2409.921184939789,院士路-盎孟港
1.75,0.9625000000000001,0.8662500000000002,2409.971184939789,院士路-盎孟港
1.8,0.9900000000000001,0.9157500000000002,2410.0211849397892,院士路-盎孟港
1.85,1.0175,0.9666250000000002,2410.071184939789,院士路-盎孟港
1.9000000000000001,1.0450000000000002,1.0188750000000002,2410.121184939789,院士路-盎孟港
1.9500000000000002,1.0725000000000002,1.0725000000000002,2410.171184939789,院士路-盎孟港
2.0,1.1,1.1275000000000002,2410.221184939789,院士路-盎孟港
2.0500000000000003,1.1275000000000002,1.1838750000000002,2410.2711849397892,院士路-盎孟港
2.1,1.1550000000000002,1.2416250000000002,2410.321184939789,院士路-盎孟港
2.15,1.1825,1.3007500000000003,2410.371184939789,院士路-盎孟港
2.2,1.2100000000000002,1.3612500000000003,2410.421184939789,院士路-盎孟港
2.25,1.2375,1.4231250000000002,2410.471184939789,院士路-盎孟港
2.3000000000000003,1.2650000000000003,1.4863750000000002,2410.5211849397892,院士路-盎孟港
2.35,1.2925000000000002,1.5510000000000002,2410.571184939789,院士路-盎孟港
2.4000000000000004,1.3200000000000003,1.6170000000000002,2410.621184939789,院士路-盎孟港
2.45,1.3475000000000001,1.6843750000000002,2410.671184939789,院士路-盎孟港
2.5,1.375,1.7531250000000003,2410.721184939789,院士路-盎孟港
2.5500000000000003,1.4025000000000003,1.8232500000000003,2410.7711849397892,院士路-盎孟港
2.6,1.4300000000000002,1.8947500000000002,2410.821184939789,院士路-盎孟港
2.6500000000000004,1.4575000000000002,1.9676250000000002,2410.871184939789,院士路-盎孟港
2.7,1.4850000000000003,2.041875,2410.921184939789,院士路-盎孟港
2.75,1.5125000000000002,2.1175,2410.971184939789,院士路-盎孟港
2.8000000000000003,1.5400000000000003,2.1945,2411.0211849397892,院士路-盎孟港
2.85,1.5675000000000001,2.272875,2411.071184939789,院士路-盎孟港
2.9000000000000004,1.5950000000000004,2.352625,2411.121184939789,院士路-盎孟港
2.95,1.6225000000000003,2.4337500000000003,2411.171184939789,院士路-盎孟港
3.0,1.6500000000000001,2.5162500000000003,2411.221184939789,院士路-盎孟港
3.0500000000000003,1.6775000000000002,2.6001250000000002,2411.2711849397892,院士路-盎孟港
3.1,1.7050000000000003,2.685375,2411.321184939789,院士路-盎孟港
3.1500000000000004,1.7325000000000004,2.7720000000000002,2411.371184939789,院士路-盎孟港
3.2,1.7600000000000002,2.8600000000000003,2411.421184939789,院士路-盎孟港
3.25,1.7875,2.9493750000000003,2411.471184939789,院士路-盎孟港
3.3000000000000003,1.8150000000000004,3.040125,2411.5211849397892,院士路-盎孟港
3.35,1.8425000000000002,3.13225,2411.571184939789,院士路-盎孟港
3.4000000000000004,1.8700000000000003,3.22575,2411.621184939789,院士路-盎孟港
3.45,1.8975000000000002,3.320625,2411.671184939789,院士路-盎孟港
3.5,1.9250000000000003,3.416875,2411.721184939789,院士路-盎孟港
3.5500000000000003,1.9525000000000003,3.5145,2411.7711849397892,院士路-盎孟港
3.6,1.9800000000000002,3.6135,2411.821184939789,院士路-盎孟港
3.6500000000000004,2.0075000000000003,3.7138750000000003,2411.871184939789,院士路-盎孟港
3.7,2.035,3.8156250000000003,2411.921184939789,院士路-盎孟港
3.75,2.0625,3.91875,2411.971184939789,院士路-盎孟港
3.8000000000000003,2.0900000000000003,4.02325,2412.0211849397892,院士路-盎孟港
3.85,2.1175,4.129125,2412.071184939789,院士路-盎孟港
3.9000000000000004,2.1450000000000005,4.236375,2412.121184939789,院士路-盎孟港
3.95,2.1725000000000003,4.345,2412.171184939789,院士路-盎孟港
4.0,2.2,4.455,2412.221184939789,院士路-盎孟港
4.05,2.2275,4.566375,2412.2711849397892,院士路-盎孟港
4.1000000000000005,2.2550000000000003,4.679125,2412.321184939789,院士路-盎孟港
4.15,2.2825,4.79325,2412.371184939789,院士路-盎孟港
4.2,2.3100000000000005,4.9087499999999995,2412.421184939789,院士路-盎孟港
4.25,2.3375000000000004,5.025625,2412.471184939789,院士路-盎孟港
4.3,2.365,5.1438749999999995,2412.5211849397892,院士路-盎孟港
4.3500000000000005,2.3925000000000005,5.2635,2412.571184939789,院士路-盎孟港
4.4,2.4200000000000004,5.3845,2412.621184939789,院士路-盎孟港
4.45,2.4475000000000002,5.506875,2412.671184939789,院士路-盎孟港
4.5,2.475,5.630625,2412.721184939789,院士路-盎孟港
4.55,2.5025,5.75575,2412.7711849397892,院士路-盎孟港
4.6000000000000005,2.5300000000000007,5.88225,2412.821184939789,院士路-盎孟港
4.65,2.5575000000000006,6.010125,2412.871184939789,院士路-盎孟港
4.7,2.5850000000000004,6.139375,2412.921184939789,院士路-盎孟港
4.75,2.6125000000000003,6.2700000000000005,2412.971184939789,院士路-盎孟港
4.800000000000001,2.6400000000000006,6.402,2413.0211849397892,院士路-盎孟港
4.8500000000000005,2.6675000000000004,6.535375,2413.071184939789,院士路-盎孟港
4.9,2.6950000000000003,6.6701250000000005,2413.121184939789,院士路-盎孟港
4.95,2.7225,6.80625,2413.171184939789,院士路-盎孟港
5.0,2.75,6.9437500000000005,2413.221184939789,院士路-盎孟港
5.050000000000001,2.7775000000000007,7.082625,2413.2711849397892,院士路-盎孟港
5.1000000000000005,2.8050000000000006,7.222875,2413.321184939789,院士路-盎孟港
5.15,2.8325000000000005,7.3645000000000005,2413.371184939789,院士路-盎孟港
5.2,2.8600000000000003,7.5075,2413.421184939789,院士路-盎孟港
5.25,2.8875,7.651875,2413.471184939789,院士路-盎孟港
5.300000000000001,2.9150000000000005,7.797625,2413.5211849397892,院士路-盎孟港
5.3500000000000005,2.9425000000000003,7.94475,2413.571184939789,院士路-盎孟港
5.4,2.9700000000000006,8.09325,2413.621184939789,院士路-盎孟港
5.45,2.9975000000000005,8.243125,2413.671184939789,院士路-盎孟港
5.5,3.0250000000000004,8.394374999999998,2413.721184939789,院士路-盎孟港
5.550000000000001,3.0525000000000007,8.546999999999999,2413.7711849397892,院士路-盎孟港
5.6000000000000005,3.0800000000000005,8.700999999999999,2413.821184939789,院士路-盎孟港
5.65,3.1075000000000004,8.856374999999998,2413.871184939789,院士路-盎孟港
5.7,3.1350000000000002,9.013124999999999,2413.921184939789,院士路-盎孟港
5.75,3.1625,9.171249999999999,2413.971184939789,院士路-盎孟港
5.800000000000001,3.190000000000001,9.330749999999998,2414.0211849397892,院士路-盎孟港
5.8500000000000005,3.2175000000000007,9.491624999999999,2414.071184939789,院士路-盎孟港
5.9,3.2450000000000006,9.653875,2414.121184939789,院士路-盎孟港
5.95,3.2725000000000004,9.817499999999999,2414.171184939789,院士路-盎孟港
6.0,3.3000000000000003,9.982499999999998,2414.221184939789,院士路-盎孟港
6.050000000000001,3.3275000000000006,10.148874999999999,2414.2711849397892,院士路-盎孟港
6.1000000000000005,3.3550000000000004,10.316624999999998,2414.321184939789,院士路-盎孟港
6.15,3.3825000000000003,10.485749999999998,2414.371184939789,院士路-盎孟港
6.2,3.4100000000000006,10.656249999999998,2414.421184939789,院士路-盎孟港
6.25,3.4375000000000004,10.828124999999998,2414.471184939789,院士路-盎孟港
6.300000000000001,3.4650000000000007,11.001374999999998,2414.5211849397892,院士路-盎孟港
6.3500000000000005,3.4925000000000006,11.175999999999998,2414.571184939789,院士路-盎孟港
6.4,3.5200000000000005,11.351999999999999,2414.621184939789,院士路-盎孟港
6.45,3.5475000000000003,11.529374999999998,2414.671184939789,院士路-盎孟港
6.5,3.575,11.708124999999999,2414.721184939789,院士路-盎孟港
6.550000000000001,3.6025000000000005,11.88825,2414.7711849397892,院士路-盎孟港
6.6000000000000005,3.630000000000001,12.069749999999999,2414.821184939789,院士路-盎孟港
6.65,3.6575000000000006,12.252624999999998,2414.871184939789,院士路-盎孟港
6.7,3.6850000000000005,12.436874999999999,2414.921184939789,院士路-盎孟港
6.75,3.7125000000000004,12.622499999999999,2414.971184939789,院士路-盎孟港
6.800000000000001,3.7400000000000007,12.809499999999998,2415.0211849397892,院士路-盎孟港
6.8500000000000005,3.7675000000000005,12.997874999999999,2415.071184939789,院士路-盎孟港
6.9,3.7950000000000004,13.187624999999999,2415.121184939789,院士路-盎孟港
6.95,3.8225000000000002,13.378749999999998,2415.171184939789,院士路-盎孟港
7.0,3.8500000000000005,13.57125,2415.221184939789,院士路-盎孟港
7.050000000000001,3.877500000000001,13.765125,2415.2711849397892,院士路-盎孟港
