站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,28.58,30.0,-1.42,116.3,12947.63,13108.53,13116.69,历史原始实测能耗,160.9,real,class3,class3,80,80,strong,real_only,215.24,UP005_20240701_145202_R220,4.0,220.0
张家潭-同德路,class2,148.0,28.5,30.0,-1.5,150.45,17599.22,17458.04,17438.95,历史原始实测能耗,-141.18,real,class2,class2,8,8,strong,real_only,215.24,UP005_20240701_145202_R220,4.0,221.0
同德路-石碶,class3,109.0,33.25,35.0,-1.75,110.5,13094.43,11767.72,11623.61,历史原始实测能耗,-1326.71,real,class3,class3,60,60,strong,real_only,215.24,UP005_20240701_145202_R220,4.0,222.0
石碶-雅渡,class2,80.0,28.5,30.0,-1.5,83.9,11094.88,13065.51,12926.14,历史原始实测能耗,1970.63,real,class2,class2,38,38,strong,real_only,215.54,UP005_20240701_145202_R220,4.0,223.0
雅渡-庙堰,class4,139.0,27.55,29.0,-1.45,130.0,18182.81,21102.91,20216.12,历史原始实测能耗,2920.1,real,class4,class4,10,10,strong,real_only,215.64,UP005_20240701_145202_R220,4.0,224.0
庙堰-钟公庙,class3,96.0,28.5,30.0,-1.5,96.4,12536.53,13037.62,12837.76,历史原始实测能耗,501.09,real,class3,class3,84,84,strong,real_only,215.84,UP005_20240701_145202_R220,4.0,225.0
钟公庙-鄞州区政府,class4,95.0,38.01,40.0,-1.99,90.05,7979.13,10306.1,10266.51,历史原始实测能耗,2326.97,real,class4,class4,1,1,weak,real_only,215.64,UP005_20240701_145202_R220,4.0,226.0
鄞州区政府-钱湖南路,class3,132.1,27.55,29.0,-1.45,132.7,16051.29,17209.04,16711.4,历史原始实测能耗,1157.75,real,class3,class3,62,62,strong,real_only,215.64,UP005_20240701_145202_R220,4.0,227.0
钱湖南路-南高教园区,class3,100.0,33.25,35.0,-1.75,100.6,13575.18,13790.07,13453.28,历史原始实测能耗,214.89,real,class3,class3,63,63,strong,real_only,215.54,UP005_20240701_145202_R220,4.0,228.0
南高教园区-下应路,class3,114.0,27.55,29.0,-1.45,115.9,18410.42,18943.01,18685.44,历史原始实测能耗,532.59,real,class3,class3,63,63,strong,real_only,215.74,UP005_20240701_145202_R220,4.0,229.0
下应路-大洋江,class3,106.0,28.5,30.0,-1.5,105.5,11259.42,11394.16,11118.5,历史原始实测能耗,134.74,real,class3,class3,65,65,strong,real_only,215.84,UP005_20240701_145202_R220,4.0,230.0
大洋江-泗港,class3,92.0,28.5,30.0,-1.5,92.5,10735.19,10679.52,10452.88,历史原始实测能耗,-55.67,real,class3,class3,99,99,strong,real_only,215.74,UP005_20240701_145202_R220,4.0,231.0
泗港-曹隘,class4,137.0,30.4,32.0,-1.6,134.75,22938.9,22526.53,22662.52,历史原始实测能耗,-412.37,real,class4,class4,82,82,strong,real_only,215.74,UP005_20240701_145202_R220,4.0,232.0
曹隘-柳隘,class4,113.0,29.45,31.0,-1.55,106.7,15948.2,20827.52,20713.99,历史原始实测能耗,4879.32,real,class4,class4,1,1,weak,real_only,215.64,UP005_20240701_145202_R220,4.0,233.0
柳隘-海晏北路,class3,92.0,42.76,45.0,-2.24,88.7,11476.12,13379.49,13502.18,历史原始实测能耗,1903.37,real,class3,class3,35,35,strong,real_only,215.84,UP005_20240701_145202_R220,4.0,234.0
海晏北路-民安东路,class3,85.0,28.5,30.0,-1.5,83.95,14697.33,15568.87,15379.03,历史原始实测能耗,871.54,real,class3,class3,41,41,strong,real_only,216.04,UP005_20240701_145202_R220,4.0,235.0
民安东路-会展中心,class3,79.0,28.5,30.0,-1.5,76.15,11576.69,12272.75,12278.89,历史原始实测能耗,696.06,real,class3,class3,8,8,strong,real_only,216.14,UP005_20240701_145202_R220,4.0,236.0
会展中心-院士路,class3,115.0,28.5,30.0,-1.5,114.95,14891.6,14797.94,14703.78,历史原始实测能耗,-93.66,real,class3,class3,104,104,strong,real_only,215.84,UP005_20240701_145202_R220,4.0,237.0
院士路-盎孟港,class3,91.0,28.5,30.0,-1.5,90.65,17729.7,19729.05,19577.84,历史原始实测能耗,1999.35,real,class3,class3,99,99,strong,real_only,215.64,UP005_20240701_145202_R220,4.0,238.0
盎孟港-三官堂,class3,138.9,32.3,34.0,-1.7,136.55,17011.18,17019.37,16642.82,历史原始实测能耗,8.19,real,class3,class3,52,52,strong,real_only,215.74,UP005_20240701_145202_R220,4.0,239.0
三官堂-兴庄路,class3,104.0,29.45,31.0,-1.55,104.95,10501.48,10566.75,10356.45,历史原始实测能耗,65.27,real,class3,class3,58,58,strong,real_only,215.84,UP005_20240701_145202_R220,4.0,240.0
兴庄路-兴海南路,class2,87.0,28.5,30.0,-1.5,92.1,15859.82,11051.91,10930.6,历史原始实测能耗,-4807.91,real,class2,class2,30,30,strong,real_only,215.64,UP005_20240701_145202_R220,4.0,241.0
兴海南路-梅堰,class3,82.0,34.2,36.0,-1.8,81.25,11329.91,12047.53,12056.4,历史原始实测能耗,717.62,real,class3,class3,73,73,strong,real_only,215.64,UP005_20240701_145202_R220,4.0,242.0
梅堰-永茂路,class4,329.0,25.65,27.0,-1.35,329.1,26368.07,26082.74,,历史原始实测能耗,-285.33,real,class4,class4,26,26,strong,real_only,215.34,UP005_20240701_145202_R220,3.0,243.0
永茂路-镇海大道,class4,156.0,26.6,28.0,-1.4,142.35,15613.83,17808.47,17549.28,历史原始实测能耗,2194.64,real,class4,class4,1,1,weak,real_only,215.44,UP005_20240701_145202_R220,4.0,244.0
镇海大道-骆驼桥,class4,128.0,0.0,0.0,0.0,116.6,17268.28,19865.41,19500.67,历史原始实测能耗,2597.13,real,class4,class4,1,1,weak,real_only,215.24,UP005_20240701_145202_R220,4.0,245.0
--- 总计 ---,节能率: 4.62%,3063.0,751.5500000000001,791.0,-39.45,3814.5499999999997,386677.24,405406.56,374701.73,历史原始实测能耗,18729.32,,,,,,,real_only,,,,
