send_order,section,trip_no,run_id_filter,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,11,,07/0270210,10,0,2329,max,65.62,44.16,63.92,1051,65.62,65.41,64.47,0,65.62,single-route,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],0,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip011,"<setPositionSpeed trainID=""priority_history_trip011"" speed=""65.62"" startRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,11,,07/0270210,10,0,3030,max,64.14,48.02,62.71,1789,64.14,63.86,63.71,0,64.14,single-route,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],0,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],999999,priority_history_trip011,"<setPositionSpeed trainID=""priority_history_trip011"" speed=""64.14"" startRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" endRouteOffset=""999999""/>",
3,同德路-石碶,11,,07/0270210,10,0,2204,max,67.93,43.46,66.63,879,67.93,67.76,67.15,0,67.93,single-route,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],0,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip011,"<setPositionSpeed trainID=""priority_history_trip011"" speed=""67.93"" startRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,11,,07/0270210,10,0,1633,max,72,36.47,69.76,235,72,71.89,70.22,0,72,single-route,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],0,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip011,"<setPositionSpeed trainID=""priority_history_trip011"" speed=""72"" startRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,11,,07/0270210,10,0,2679,max,73.48,49.99,71.36,1249,73.48,72.97,72.25,0,73.48,single-route,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],0,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip011,"<setPositionSpeed trainID=""priority_history_trip011"" speed=""73.48"" startRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",end_offset_defaulted
6,庙堰-钟公庙,11,,07/0270210,10,0,1929,max,69.05,40.58,65.76,565,69.05,68.65,65.93,0,69.05,single-route,,,,,priority_history_trip011,,
7,钟公庙-鄞州区政府,11,,07/0270210,10,0,1811,max,67.58,39.14,66.79,522,67.58,67.54,67.39,0,67.58,single-route,,,,,priority_history_trip011,,
8,鄞州区政府-钱湖南路,11,,07/0270210,10,0,2621,max,71.92,49.78,70.74,1264,71.92,71.75,71.38,0,71.92,single-route,,,,,priority_history_trip011,,
9,钱湖南路-南高教园区,11,,07/0270210,10,0,2006,max,69.03,41.95,66.65,690,69.03,68.77,67.13,0,69.03,single-route,,,,,priority_history_trip011,,
10,南高教园区-下应路,11,,07/0270210,10,0,2289,max,71.53,45.68,70.39,894,71.53,71.32,71.02,0,71.53,single-route,,,,,priority_history_trip011,,
