send_order,section,trip_no,run_id_filter,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,12,,07/0270211,11,0,2327,max,64.97,44.18,63.93,1044,64.97,64.83,64.44,0,64.97,single-route,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],0,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip012,"<setPositionSpeed trainID=""priority_history_trip012"" speed=""64.97"" startRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,12,,07/0270211,11,0,3031,max,64.18,48.03,62.73,1806,64.18,63.92,63.77,0,64.18,single-route,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],0,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],999999,priority_history_trip012,"<setPositionSpeed trainID=""priority_history_trip012"" speed=""64.18"" startRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" endRouteOffset=""999999""/>",
3,同德路-石碶,12,,07/0270211,11,0,2220,max,64.18,43.15,63.35,980,64.18,64.13,64.07,0,64.18,single-route,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],0,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip012,"<setPositionSpeed trainID=""priority_history_trip012"" speed=""64.18"" startRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,12,,07/0270211,11,0,1626,max,72.15,36.62,70.21,250,72.15,72.02,70.7,0,72.15,single-route,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],0,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip012,"<setPositionSpeed trainID=""priority_history_trip012"" speed=""72.15"" startRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,12,,07/0270211,11,0,2656,max,74.13,50.47,72.64,1179,74.13,73.9,73.1,0,74.13,single-route,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],0,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip012,"<setPositionSpeed trainID=""priority_history_trip012"" speed=""74.13"" startRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",end_offset_defaulted
6,庙堰-钟公庙,12,,07/0270211,11,0,1935,max,69.09,40.46,65.62,628,69.09,68.75,65.92,0,69.09,single-route,,,,,priority_history_trip012,,
7,钟公庙-鄞州区政府,12,,07/0270211,11,0,1814,max,67.51,39.08,66.52,516,67.51,67.44,67.1,0,67.51,single-route,,,,,priority_history_trip012,,
8,鄞州区政府-钱湖南路,12,,07/0270211,11,0,2634,max,71.68,49.56,70.67,1258,71.68,71.52,71.4,0,71.68,single-route,,,,,priority_history_trip012,,
9,钱湖南路-南高教园区,12,,07/0270211,11,0,2000,max,69.07,42.08,66.79,670,69.07,68.76,67.19,0,69.07,single-route,,,,,priority_history_trip012,,
10,南高教园区-下应路,12,,07/0270211,11,0,2275,max,71.57,45.96,70.6,892,71.57,71.44,71.29,0,71.57,single-route,,,,,priority_history_trip012,,
11,下应路-大洋江,12,,07/0270211,11,0,2107,max,63.82,41.52,63.03,837,63.82,63.76,63.61,0,63.82,single-route,,,,,priority_history_trip012,,
12,大洋江-泗港,12,,07/0270211,11,0,1847,max,61.58,37.35,59.51,617,61.58,61.34,60.32,0,61.58,single-route,,,,,priority_history_trip012,,
13,泗港-曹隘,12,,07/0270211,11,0,2695,max,77.74,48.06,77.04,831,77.74,77.63,77.58,0,77.74,single-route,,,,,priority_history_trip012,,
14,曹隘-柳隘,12,,07/0270211,11,0,2134,max,75.46,44.16,73.36,475,75.46,75.11,74.73,0,75.46,single-route,,,,,priority_history_trip012,,
15,柳隘-海晏北路,12,,07/0270211,11,0,1807,max,74.56,39.1,71.02,191,74.56,74.27,70.98,0,74.56,single-route,,,,,priority_history_trip012,,
