站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,30.01,30.0,0.01,115.85,12947.95,13232.21,13114.67,历史原始实测能耗,284.26,real,class3,class3,80,80,strong,energy_first,215.24,UP021_20240703_172946_R1077,20.0,1077.0
张家潭-同德路,class1,141.0,31.01,31.0,0.01,149.95,18108.33,17951.46,17334.23,历史原始实测能耗,-156.87,extrapolated_adjacent,class2,class2,0,8,generated,energy_first,215.24,UP021_20240703_172946_R1077,20.0,1078.0
同德路-石碶,class3,109.0,34.01,34.0,0.01,106.2,13026.44,15779.04,15273.79,历史原始实测能耗,2752.6,real,class3,class3,60,60,strong,energy_first,215.74,UP021_20240703_172946_R1077,20.0,1079.0
石碶-雅渡,class2,80.0,30.01,30.0,0.01,81.85,11129.29,13348.06,13137.18,历史原始实测能耗,2218.77,real,class2,class2,38,38,strong,energy_first,216.64,UP021_20240703_172946_R1077,20.0,1080.0
雅渡-庙堰,class2,129.0,29.01,29.0,0.01,128.95,20824.45,22001.83,20980.94,历史原始实测能耗,1177.38,real,class2,class2,32,32,strong,energy_first,216.94,UP021_20240703_172946_R1077,20.0,1081.0
庙堰-钟公庙,class3,96.0,30.01,30.0,0.01,94.2,12834.86,15408.25,15293.45,历史原始实测能耗,2573.39,real,class3,class3,84,84,strong,energy_first,217.34,UP021_20240703_172946_R1077,20.0,1082.0
钟公庙-鄞州区政府,class3,90.0,39.01,39.0,0.01,89.6,10315.99,13321.7,12923.22,历史原始实测能耗,3005.71,real,class3,class3,108,108,strong,energy_first,219.62,UP021_20240703_172946_R1077,20.0,1083.0
鄞州区政府-钱湖南路,class2,128.0,29.01,29.0,0.01,127.65,19582.03,19823.19,19474.58,历史原始实测能耗,241.16,real,class2,class2,45,45,strong,energy_first,225.2,UP021_20240703_172946_R1077,20.0,1084.0
钱湖南路-南高教园区,class3,100.0,35.01,35.0,0.01,97.05,14918.0,15624.46,16074.46,历史原始实测能耗,706.46,real,class3,class3,63,63,strong,energy_first,225.5,UP021_20240703_172946_R1077,20.0,1085.0
南高教园区-下应路,class2,110.0,29.01,29.0,0.01,110.75,22405.19,22000.44,22242.57,历史原始实测能耗,-404.75,real,class2,class2,44,44,strong,energy_first,224.0,UP021_20240703_172946_R1077,20.0,1086.0
下应路-大洋江,class2,101.0,29.01,29.0,0.01,101.45,13869.7,14394.26,14009.9,历史原始实测能耗,524.56,real,class2,class2,41,41,strong,energy_first,223.7,UP021_20240703_172946_R1077,20.0,1087.0
大洋江-泗港,class3,92.0,29.01,29.0,0.01,91.25,11046.68,12300.33,11859.45,历史原始实测能耗,1253.65,real,class3,class3,99,99,strong,energy_first,224.0,UP021_20240703_172946_R1077,20.0,1088.0
泗港-曹隘,class4,137.0,31.01,31.0,0.01,136.15,25487.17,22903.46,23799.62,历史原始实测能耗,-2583.71,real,class4,class4,82,82,strong,energy_first,225.4,UP021_20240703_172946_R1077,20.0,1089.0
曹隘-柳隘,class3,108.0,30.01,30.0,0.01,106.55,17057.06,21900.29,17977.41,历史原始实测能耗,4843.23,real,class3,class3,38,38,strong,energy_first,225.2,UP021_20240703_172946_R1077,20.0,1090.0
柳隘-海晏北路,class3,92.0,45.01,45.0,0.01,88.85,12052.52,15255.18,15372.67,历史原始实测能耗,3202.66,real,class3,class3,35,35,strong,energy_first,225.3,UP021_20240703_172946_R1077,20.0,1091.0
海晏北路-民安东路,class3,85.0,31.01,31.0,0.01,83.55,15174.17,16867.68,15833.92,历史原始实测能耗,1693.51,real,class3,class3,41,41,strong,energy_first,227.9,UP021_20240703_172946_R1077,20.0,1092.0
民安东路-会展中心,class3,79.0,29.01,29.0,0.01,77.0,12738.71,13965.91,13948.22,历史原始实测能耗,1227.2,real,class3,class3,8,8,strong,energy_first,230.7,UP021_20240703_172946_R1077,20.0,1093.0
会展中心-院士路,class3,115.0,30.01,30.0,0.01,115.0,15217.88,15771.03,15051.6,历史原始实测能耗,553.15,real,class3,class3,104,104,strong,energy_first,230.0,UP021_20240703_172946_R1077,20.0,1094.0
院士路-盎孟港,class3,91.0,29.01,29.0,0.01,90.25,17846.06,20942.81,20042.39,历史原始实测能耗,3096.75,real,class3,class3,99,99,strong,energy_first,228.1,UP021_20240703_172946_R1077,20.0,1095.0
盎孟港-三官堂,class2,132.0,30.01,30.0,0.01,130.85,18859.4,19882.07,19819.17,历史原始实测能耗,1022.67,real,class2,class2,52,52,strong,energy_first,227.4,UP021_20240703_172946_R1077,20.0,1096.0
三官堂-兴庄路,class1,94.0,30.01,30.0,0.01,98.55,14058.37,11895.68,12528.52,历史原始实测能耗,-2162.69,extrapolated_adjacent,class2,class2,0,46,generated,energy_first,223.31,UP021_20240703_172946_R1077,20.0,1097.0
兴庄路-兴海南路,class2,87.0,28.01,28.0,0.01,88.35,17364.44,14819.76,15099.68,历史原始实测能耗,-2544.68,real,class2,class2,30,30,strong,energy_first,219.22,UP021_20240703_172946_R1077,20.0,1098.0
兴海南路-梅堰,class3,82.0,30.01,30.0,0.01,81.5,11267.41,13070.48,12730.71,历史原始实测能耗,1803.07,real,class3,class3,73,73,strong,energy_first,217.72,UP021_20240703_172946_R1077,20.0,1099.0
梅堰-永茂路,class3,313.0,28.01,28.0,0.01,313.9,31111.41,30135.16,30735.73,历史原始实测能耗,-976.25,real,class3,class3,20,20,strong,energy_first,217.72,UP021_20240703_172946_R1077,15.0,1100.0
永茂路-镇海大道,class2,141.0,29.01,29.0,0.01,141.75,19074.69,17852.29,18533.86,历史原始实测能耗,-1222.4,real,class2,class2,59,59,strong,energy_first,217.52,UP021_20240703_172946_R1077,20.0,1101.0
镇海大道-骆驼桥,class2,116.0,0.0,0.0,0.0,116.25,20338.25,20266.54,19870.0,历史原始实测能耗,-71.71,real,class2,class2,101,101,strong,energy_first,216.24,UP021_20240703_172946_R1077,20.0,1102.0
--- 总计 ---,节能率: 4.89%,2963.0,774.25,774.0,0.25,3737.25,428656.45,450713.57,443061.94,历史原始实测能耗,22057.12,,,,,,,energy_first,,,,
