trip_no,comparison,section_index,站间区间,区间载重(t),载重来源,全局趟次ID,历史segment,历史来源run_id,归一化区间里程(km),载重里程(t·km),规划OT区间里程(km),历史OT区间里程(km),规划OT区间机械能(kWh),历史OT区间机械能(kWh),规划单位能耗[kWh/(t·km)],历史单位能耗[kWh/(t·km)],区间节能率(%)
42,standard_dp,26,镇海大道-骆驼桥,215.54,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2277.0,1.62078,349.342921,1.5929,1.5931,18.28894444,18.60388889,0.0523524117,0.0532539455,1.692896
42,dwell5_dp,1,布政-张家潭,215.24,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2252.0,1.45064,312.235754,1.428,1.428,13.42766667,12.98586111,0.0430048978,0.0415899235,-3.402205
42,dwell5_dp,2,张家潭-同德路,215.94,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2253.0,2.05364,443.463022,2.017,2.017,16.61519444,16.58805556,0.037466922,0.0374057244,-0.163605
42,dwell5_dp,3,同德路-石碶,216.42,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2254.0,1.35244,292.695065,1.331,1.331,12.99797222,13.75933333,0.0444078968,0.047009106,5.533416
42,dwell5_dp,4,石碶-雅渡,220.6,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2255.0,0.84033,185.376798,0.827,0.827,10.35902778,12.18016667,0.0558809295,0.0657049145,14.951675
42,dwell5_dp,5,雅渡-庙堰,222.3,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2256.0,1.8896,420.05808,1.86,1.86,22.46880556,20.87336111,0.0534897592,0.0496916072,-7.643448
42,dwell5_dp,6,庙堰-钟公庙,225.9,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2257.0,1.10386,249.361974,1.086,1.086,13.52516667,14.39408333,0.0542390905,0.0577236501,6.036624
42,dwell5_dp,7,钟公庙-鄞州区政府,228.2,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2258.0,0.99915,228.00603,0.984,0.984,8.98847222,12.50322222,0.0394220812,0.0548372437,28.110754
42,dwell5_dp,8,鄞州区政府-钱湖南路,231.4,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2259.0,1.83978,425.725092,1.811,1.811,16.773,17.72511111,0.0393986643,0.0416351102,5.371538
42,dwell5_dp,9,钱湖南路-南高教园区,233.6,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2260.0,1.18712,277.311232,1.155,1.155,14.83252778,16.19513889,0.0534869348,0.0584005876,8.413704
42,dwell5_dp,10,南高教园区-下应路,236.7,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2261.0,1.47371,348.827157,1.452,1.452,18.95311111,21.04252778,0.0543338176,0.0603236513,9.929495
42,dwell5_dp,11,下应路-大洋江,238.6,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2262.0,1.23317,294.234362,1.214,1.214,12.26027778,13.87591667,0.0416684091,0.0471594024,11.643475
42,dwell5_dp,12,大洋江-泗港,238.5,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2263.0,0.97274,231.99849,0.958,0.958,12.134,11.76805556,0.0523020646,0.0507247075,-3.109642
42,dwell5_dp,13,泗港-曹隘,238.9,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2264.0,1.82573,436.166897,1.798,1.798,24.82916667,25.83788889,0.0569258393,0.0592385371,3.904043
42,dwell5_dp,14,曹隘-柳隘,243.1,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2265.0,1.32757,322.732267,1.308,1.308,17.78552778,22.55655556,0.0551092332,0.0698924708,21.151402
42,dwell5_dp,15,柳隘-海晏北路,244.9,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2266.0,0.99607,243.937543,0.98,0.98,12.7895,15.42972222,0.052429404,0.0632527574,17.111275
42,dwell5_dp,16,海晏北路-民安东路,247.7,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2267.0,0.87798,217.475646,0.866,0.8661,15.11113889,16.74263889,0.069484281,0.0769862704,9.744581
42,dwell5_dp,17,民安东路-会展中心,240.1,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2268.0,0.73621,176.764021,0.724,0.724,11.05286111,13.63077778,0.0625289075,0.0771128519,18.912469
42,dwell5_dp,18,会展中心-院士路,232.2,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2269.0,1.57592,365.928624,1.5619,1.562,15.98352778,16.86825,0.0436793591,0.0460971044,5.244896
42,dwell5_dp,19,院士路-盎孟港,225.2,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2270.0,1.01064,227.596128,0.9941,0.994,17.51041667,18.87697222,0.0769363557,0.0829406563,7.239273
42,dwell5_dp,20,盎孟港-三官堂,219.02,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2271.0,1.90677,417.620765,1.8759,1.8759,17.22888889,17.50136111,0.0412548664,0.0419073058,1.556863
42,dwell5_dp,21,三官堂-兴庄路,216.94,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2272.0,1.09748,238.087311,1.0821,1.0821,10.09647222,11.7485,0.0424065952,0.0493453429,14.061606
42,dwell5_dp,22,兴庄路-兴海南路,216.04,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2273.0,0.97381,210.381912,0.958,0.958,16.25538889,13.03897222,0.0772660953,0.0619776295,-24.667716
42,dwell5_dp,23,兴海南路-梅堰,215.64,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2274.0,0.8462,182.474568,0.833,0.833,11.60552778,13.17169444,0.063600796,0.0721837272,11.890396
42,dwell5_dp,24,梅堰-永茂路,215.64,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,32.0,2275.0,3.73426,805.255826,3.676,3.6759,29.19633333,28.67925,0.0362572146,0.0356150792,-1.802988
42,dwell5_dp,25,永茂路-镇海大道,215.64,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2276.0,2.16434,466.718278,2.1311,2.1311,15.94719444,16.0545,0.0341687806,0.0343986957,0.668383
42,dwell5_dp,26,镇海大道-骆驼桥,215.54,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2277.0,1.62078,349.342921,1.593,1.5931,18.28897222,18.60388889,0.0523524912,0.0532539455,1.692746
42,energy_first,1,布政-张家潭,215.24,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2252.0,1.45064,312.235754,1.428,1.428,13.42766667,12.98586111,0.0430048978,0.0415899235,-3.402205
42,energy_first,2,张家潭-同德路,215.94,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2253.0,2.05364,443.463022,2.017,2.017,18.08505556,16.58805556,0.0407814286,0.0374057244,-9.024566
42,energy_first,3,同德路-石碶,216.42,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2254.0,1.35244,292.695065,1.331,1.331,12.99794444,13.75933333,0.0444078019,0.047009106,5.533618
42,energy_first,4,石碶-雅渡,220.6,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2255.0,0.84033,185.376798,0.827,0.827,10.35905556,12.18016667,0.0558810793,0.0657049145,14.951447
42,energy_first,5,雅渡-庙堰,222.3,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2256.0,1.8896,420.05808,1.86,1.86,22.46875,20.87336111,0.053489627,0.0496916072,-7.643182
42,energy_first,6,庙堰-钟公庙,225.9,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2257.0,1.10386,249.361974,1.086,1.086,13.52516667,14.39408333,0.0542390905,0.0577236501,6.036624
42,energy_first,7,钟公庙-鄞州区政府,228.2,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2258.0,0.99915,228.00603,0.984,0.984,11.77030556,12.50322222,0.0516227819,0.0548372437,5.861822
42,energy_first,8,鄞州区政府-钱湖南路,231.4,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2259.0,1.83978,425.725092,1.811,1.811,18.46886111,17.72511111,0.0433821296,0.0416351102,-4.196024
42,energy_first,9,钱湖南路-南高教园区,233.6,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2260.0,1.18712,277.311232,1.155,1.155,14.8325,16.19513889,0.0534868346,0.0584005876,8.413876
42,energy_first,10,南高教园区-下应路,236.7,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2261.0,1.47371,348.827157,1.452,1.452,21.08194444,21.04252778,0.060436649,0.0603236513,-0.187319
42,energy_first,11,下应路-大洋江,238.6,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2262.0,1.23317,294.234362,1.214,1.214,13.89591667,13.87591667,0.0472273754,0.0471594024,-0.144135
42,energy_first,12,大洋江-泗港,238.5,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2263.0,0.97274,231.99849,0.958,0.958,12.134,11.76805556,0.0523020646,0.0507247075,-3.109642
42,energy_first,13,泗港-曹隘,238.9,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2264.0,1.82573,436.166897,1.798,1.798,24.82919444,25.83788889,0.0569259029,0.0592385371,3.903935
42,energy_first,14,曹隘-柳隘,243.1,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2265.0,1.32757,322.732267,1.308,1.308,17.7855,22.55655556,0.0551091472,0.0698924708,21.151525
42,energy_first,15,柳隘-海晏北路,244.9,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2266.0,0.99607,243.937543,0.98,0.98,12.7895,15.42972222,0.052429404,0.0632527574,17.111275
42,energy_first,16,海晏北路-民安东路,247.7,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,41.0,2267.0,0.87798,217.475646,0.866,0.8661,12.33180556,16.74263889,0.0567043059,0.0769862704,26.344911
42,energy_first,17,民安东路-会展中心,240.1,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2268.0,0.73621,176.764021,0.724,0.724,8.02291667,13.63077778,0.0453877244,0.0771128519,41.141167
42,energy_first,18,会展中心-院士路,232.2,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2269.0,1.57592,365.928624,1.562,1.562,15.98352778,16.86825,0.0436793591,0.0460971044,5.244896
42,energy_first,19,院士路-盎孟港,225.2,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2270.0,1.01064,227.596128,0.994,0.994,13.98316667,18.87697222,0.0614385086,0.0829406563,25.924738
42,energy_first,20,盎孟港-三官堂,219.02,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2271.0,1.90677,417.620765,1.8759,1.8759,17.22891667,17.50136111,0.0412549329,0.0419073058,1.556704
42,energy_first,21,三官堂-兴庄路,216.94,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2272.0,1.09748,238.087311,1.082,1.0821,15.11936111,11.7485,0.0635034309,0.0493453429,-28.691842
42,energy_first,22,兴庄路-兴海南路,216.04,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2273.0,0.97381,210.381912,0.958,0.958,16.25538889,13.03897222,0.0772660953,0.0619776295,-24.667716
42,energy_first,23,兴海南路-梅堰,215.64,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2274.0,0.8462,182.474568,0.833,0.833,11.60552778,13.17169444,0.063600796,0.0721837272,11.890396
42,energy_first,24,梅堰-永茂路,215.64,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,32.0,2275.0,3.73426,805.255826,3.676,3.6759,29.19633333,28.67925,0.0362572146,0.0356150792,-1.802988
42,energy_first,25,永茂路-镇海大道,215.64,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2276.0,2.16434,466.718278,2.1311,2.1311,15.94719444,16.0545,0.0341687806,0.0343986957,0.668383
42,energy_first,26,镇海大道-骆驼桥,215.54,traceable_standard_plan_MASS,UP042_20240708_073251_R2252,40.0,2277.0,1.62078,349.342921,1.593,1.5931,18.28894444,18.60388889,0.0523524117,0.0532539455,1.692896
